SEF	1.0.0												
1838	3	3	19	23	0	1001	orig=29.68In|orig.time=10:00PM|orig.date=1838-02-19|atb=19R						
1838	3	4	5	23	0	1005.1	orig=29.76In|orig.time=8:00AM|orig.date=1838-02-20|atb=16R					994.9	orig=29.48In|orig.time=8:00AM|orig.date=1838-02-20|atb=16R
1838	3	4	7	23	0	1004.8	orig=29.76In|orig.time=10:00AM|orig.date=1838-02-20|atb=18R					996.5	orig=29.54In|orig.time=10:00AM|orig.date=1838-02-20|atb=18R
1838	3	4	9	23	0	1004.9	orig=29.76In|orig.time=12:00AM|orig.date=1838-02-20|atb=17R					999.1	orig=29.61In|orig.time=12:00AM|orig.date=1838-02-20|atb=17R
1838	3	4	11	23	0	1004.6	orig=29.75In|orig.time=2:00PM|orig.date=1838-02-20|atb=17R					999.1	orig=29.61In|orig.time=2:00PM|orig.date=1838-02-20|atb=17R
1838	3	4	13	23	0	1004.1	orig=29.73In|orig.time=4:00PM|orig.date=1838-02-20|atb=16R					999.3	orig=29.61In|orig.time=4:00PM|orig.date=1838-02-20|atb=16R
1838	3	4	15	23	0	1002.4	orig=29.7In|orig.time=6:00PM|orig.date=1838-02-20|atb=16R						
1838	3	4	17	23	0	1001.9	orig=29.7In|orig.time=8:00PM|orig.date=1838-02-20|atb=18R						
1838	3	4	19	23	0	1002.1	orig=29.7In|orig.time=10:00PM|orig.date=1838-02-20|atb=17R						
1838	3	5	5	23	0	998.8	orig=29.6In|orig.time=8:00AM|orig.date=1838-02-21|atb=17R						
1838	3	5	7	23	0	999.8	orig=29.61In|orig.time=10:00AM|orig.date=1838-02-21|atb=14R						
1838	3	5	9	23	0	999.1	orig=29.61In|orig.time=12:00AM|orig.date=1838-02-21|atb=17R						
1838	3	5	11	23	0	999.1	orig=29.61In|orig.time=2:00PM|orig.date=1838-02-21|atb=17R						
1838	3	5	13	23	0	999.6	orig=29.61In|orig.time=4:00PM|orig.date=1838-02-21|atb=15R						
1838	3	5	15	23	0	999.1	orig=29.61In|orig.time=6:00PM|orig.date=1838-02-21|atb=17R						
1838	3	5	17	23	0	999.2	orig=29.62In|orig.time=8:00PM|orig.date=1838-02-21|atb=18R						
1838	3	5	19	23	0	999.5	orig=29.63In|orig.time=10:00PM|orig.date=1838-02-21|atb=18R						
1838	3	6	5	23	0	1006.3	orig=29.81In|orig.time=8:00AM|orig.date=1838-02-22|atb=15R						
1838	3	6	7	23	0	1010	orig=29.92In|orig.time=10:00AM|orig.date=1838-02-22|atb=15R						
1838	3	6	9	23	0	1012.1	orig=29.96In|orig.time=12:00AM|orig.date=1838-02-22|atb=12R						
1838	3	6	11	23	0	1020.2	orig=30.2In|orig.time=2:00PM|orig.date=1838-02-22|atb=12R						
1838	3	6	13	23	0	1033.9	orig=30.6In|orig.time=4:00PM|orig.date=1838-02-22|atb=11R						
1838	3	6	15	23	0	1027.6	orig=30.42In|orig.time=6:00PM|orig.date=1838-02-22|atb=12R						
1838	3	6	17	23	0	1019	orig=30.16In|orig.time=8:00PM|orig.date=1838-02-22|atb=11R						
1838	3	6	19	23	0	1020	orig=30.18In|orig.time=10:00PM|orig.date=1838-02-22|atb=12R						
1838	3	7	5	23	0	1023.6	orig=30.33In|orig.time=8:00AM|orig.date=1838-02-23|atb=16R						
1838	3	7	7	23	0	1024	orig=30.34In|orig.time=10:00AM|orig.date=1838-02-23|atb=16R						
1838	3	7	9	23	0	1024.2	orig=30.36In|orig.time=12:00AM|orig.date=1838-02-23|atb=18R						
1838	3	7	11	23	0	1027.2	orig=30.45In|orig.time=2:00PM|orig.date=1838-02-23|atb=18R						
1838	3	7	13	23	0	1027.4	orig=30.45In|orig.time=4:00PM|orig.date=1838-02-23|atb=17R						
1838	3	7	15	23	0	1027.2	orig=30.45In|orig.time=6:00PM|orig.date=1838-02-23|atb=18R						
1838	3	7	17	23	0	1027.2	orig=30.45In|orig.time=8:00PM|orig.date=1838-02-23|atb=18R						
1838	3	7	19	23	0	1027.4	orig=30.45In|orig.time=10:00PM|orig.date=1838-02-23|atb=17R						
1838	3	8	5	23	0	1026.3	orig=30.41In|orig.time=8:00AM|orig.date=1838-02-24|atb=16R						
1838	3	8	7	23	0	1026.4	orig=30.42In|orig.time=10:00AM|orig.date=1838-02-24|atb=17R						
1838	3	8	9	23	0	1026.2	orig=30.4In|orig.time=12:00AM|orig.date=1838-02-24|atb=15R						
1838	3	8	11	23	0	1021.4	orig=30.25In|orig.time=2:00PM|orig.date=1838-02-24|atb=14R						
1838	3	8	13	23	0	1020.8	orig=30.24In|orig.time=4:00PM|orig.date=1838-02-24|atb=15R						
1838	3	8	15	23	0	1020.2	orig=30.23In|orig.time=6:00PM|orig.date=1838-02-24|atb=16R						
1838	3	8	17	23	0	1019.4	orig=30.22In|orig.time=8:00PM|orig.date=1838-02-24|atb=18R						
1838	3	8	19	23	0	1019.2	orig=30.22In|orig.time=10:00PM|orig.date=1838-02-24|atb=19R						
1838	3	9	5	23	0	1017.3	orig=30.15In|orig.time=8:00AM|orig.date=1838-02-25|atb=17R						
1838	3	9	7	23	0	1017.3	orig=30.15In|orig.time=10:00AM|orig.date=1838-02-25|atb=17R						
1838	3	9	9	23	0	1017.1	orig=30.15In|orig.time=12:00AM|orig.date=1838-02-25|atb=18R						
1838	3	9	11	23	0	1017.7	orig=30.16In|orig.time=2:00PM|orig.date=1838-02-25|atb=17R						
1838	3	9	13	23	0	1017.8	orig=30.17In|orig.time=4:00PM|orig.date=1838-02-25|atb=18R						
1838	3	9	15	23	0	1036.1	orig=30.7In|orig.time=6:00PM|orig.date=1838-02-25|atb=16R						
1838	3	9	17	23	0	1018.9	orig=30.17In|orig.time=8:00PM|orig.date=1838-02-25|atb=13R						
1838	3	9	19	23	0	1018.3	orig=30.13In|orig.time=10:00PM|orig.date=1838-02-25|atb=10R						
1838	3	10	5	23	0	1016.5	orig=30.12In|orig.time=8:00AM|orig.date=1838-02-26|atb=16R						
1838	3	10	7	23	0	1017	orig=30.12In|orig.time=10:00AM|orig.date=1838-02-26|atb=14R						
1838	3	10	9	23	0	1017	orig=30.12In|orig.time=12:00AM|orig.date=1838-02-26|atb=14R						
1838	3	10	11	23	0	1018.2	orig=30.13In|orig.time=2:00PM|orig.date=1838-02-26|atb=13R						
1838	3	10	13	23	0	1018.3	orig=30.13In|orig.time=4:00PM|orig.date=1838-02-26|atb=12.5R						
1838	3	10	15	23	0	1020.2	orig=30.2In|orig.time=6:00PM|orig.date=1838-02-26|atb=12R						
1838	3	10	17	23	0	1017.6	orig=30.12In|orig.time=8:00PM|orig.date=1838-02-26|atb=11.5R						
1838	3	10	19	23	0	1017.7	orig=30.12In|orig.time=10:00PM|orig.date=1838-02-26|atb=11R						
1838	3	11	5	23	0	1016.7	orig=30.11In|orig.time=8:00AM|orig.date=1838-02-27|atb=14R						
1838	3	11	7	23	0	1017.6	orig=30.11In|orig.time=10:00AM|orig.date=1838-02-27|atb=10R						
1838	3	11	9	23	0	1017.6	orig=30.11In|orig.time=12:00AM|orig.date=1838-02-27|atb=10R						
1838	3	11	11	23	0	1017.6	orig=30.11In|orig.time=2:00PM|orig.date=1838-02-27|atb=10R						
1838	3	11	13	23	0	1017.8	orig=30.11In|orig.time=4:00PM|orig.date=1838-02-27|atb=9R						
1838	3	11	15	23	0	1018.1	orig=30.11In|orig.time=6:00PM|orig.date=1838-02-27|atb=8R						
1838	3	11	17	23	0	1017.2	orig=30.11In|orig.time=8:00PM|orig.date=1838-02-27|atb=11.5R						
1838	3	11	19	23	0	1017.8	orig=30.11In|orig.time=10:00PM|orig.date=1838-02-27|atb=9.25R						
1838	3	12	5	23	0	1017.4	orig=30.11In|orig.time=8:00AM|orig.date=1838-02-28|atb=11R						
1838	3	12	7	23	0	1040.4	orig=30.8In|orig.time=10:00AM|orig.date=1838-02-28|atb=12R						
1838	3	12	9	23	0	1040.9	orig=30.8In|orig.time=12:00AM|orig.date=1838-02-28|atb=10R						
1838	3	12	11	23	0	1040.8	orig=30.8In|orig.time=2:00PM|orig.date=1838-02-28|atb=10.5R						
1838	3	12	13	23	0	1040.4	orig=30.8In|orig.time=4:00PM|orig.date=1838-02-28|atb=12R						
1838	3	12	15	23	0	1040.3	orig=30.8In|orig.time=6:00PM|orig.date=1838-02-28|atb=12.5R						
1838	3	12	17	23	0	1040.3	orig=30.8In|orig.time=8:00PM|orig.date=1838-02-28|atb=12.5R						
1838	3	12	19	23	0	1040.3	orig=30.8In|orig.time=10:00PM|orig.date=1838-02-28|atb=12.5R						
1838	3	13	5	23	0	1040.9	orig=30.8In|orig.time=8:00AM|orig.date=1838-03-01|atb=10R						
1838	3	13	7	23	0	1040.2	orig=30.8In|orig.time=10:00AM|orig.date=1838-03-01|atb=13R						
1838	3	13	9	23	0	1040.2	orig=30.8In|orig.time=12:00AM|orig.date=1838-03-01|atb=13R						
1838	3	13	11	23	0	1040.2	orig=30.8In|orig.time=2:00PM|orig.date=1838-03-01|atb=13R						
1838	3	13	13	23	0	1040.2	orig=30.8In|orig.time=4:00PM|orig.date=1838-03-01|atb=13R						
1838	3	13	15	23	0	1040.2	orig=30.8In|orig.time=6:00PM|orig.date=1838-03-01|atb=13R						
1838	3	13	17	23	0	1040.2	orig=30.8In|orig.time=8:00PM|orig.date=1838-03-01|atb=13R						
1838	3	13	19	23	0	1040.2	orig=30.8In|orig.time=10:00PM|orig.date=1838-03-01|atb=13R						
1838	3	14	5	23	0	1040.2	orig=30.8In|orig.time=8:00AM|orig.date=1838-03-02|atb=13R						
1838	3	14	7	23	0	1040.2	orig=30.8In|orig.time=10:00AM|orig.date=1838-03-02|atb=13R						
1838	3	14	9	23	0	1040.2	orig=30.8In|orig.time=12:00AM|orig.date=1838-03-02|atb=13R						
1838	3	14	11	23	0	1040.2	orig=30.8In|orig.time=2:00PM|orig.date=1838-03-02|atb=13R						
1838	3	14	13	23	0	1040.2	orig=30.8In|orig.time=4:00PM|orig.date=1838-03-02|atb=13R						
1838	3	14	15	23	0	1040.2	orig=30.8In|orig.time=6:00PM|orig.date=1838-03-02|atb=13R						
1838	3	14	17	23	0	1040.2	orig=30.8In|orig.time=8:00PM|orig.date=1838-03-02|atb=13R						
1838	3	14	19	23	0	1040.2	orig=30.8In|orig.time=10:00PM|orig.date=1838-03-02|atb=13R						
1838	3	15	5	23	0	1040.2	orig=30.8In|orig.time=8:00AM|orig.date=1838-03-03|atb=13R						
1838	3	15	7	23	0	1040.2	orig=30.8In|orig.time=10:00AM|orig.date=1838-03-03|atb=13R						
1838	3	15	9	23	0	1040.3	orig=30.8In|orig.time=12:00AM|orig.date=1838-03-03|atb=12.5R						
1838	3	15	11	23	0	1040.4	orig=30.8In|orig.time=2:00PM|orig.date=1838-03-03|atb=12R						
1838	3	15	13	23	0	1040.4	orig=30.8In|orig.time=4:00PM|orig.date=1838-03-03|atb=12R						
1838	3	15	15	23	0	1040.4	orig=30.8In|orig.time=6:00PM|orig.date=1838-03-03|atb=12R						
1838	3	15	17	23	0	1040.4	orig=30.8In|orig.time=8:00PM|orig.date=1838-03-03|atb=12R						
1838	3	15	19	23	0	1012.4	orig=29.97In|orig.time=10:00PM|orig.date=1838-03-03|atb=12R						
1838	3	16	5	23	0	1011.4	orig=29.94In|orig.time=8:00AM|orig.date=1838-03-04|atb=12R						
1838	3	16	7	23	0	1011.4	orig=29.94In|orig.time=10:00AM|orig.date=1838-03-04|atb=12R						
1838	3	16	9	23	0	1011.4	orig=29.94In|orig.time=12:00AM|orig.date=1838-03-04|atb=12R						
1838	3	16	11	23	0	1011.8	orig=29.94In|orig.time=2:00PM|orig.date=1838-03-04|atb=10R						
1838	3	16	13	23	0	1010.6	orig=29.91In|orig.time=4:00PM|orig.date=1838-03-04|atb=11R						
1838	3	16	15	23	0	1012	orig=29.91In|orig.time=6:00PM|orig.date=1838-03-04|atb=5R						
1838	3	16	17	23	0	1011.5	orig=29.91In|orig.time=8:00PM|orig.date=1838-03-04|atb=7R						
1838	3	16	19	23	0	1010.8	orig=29.91In|orig.time=10:00PM|orig.date=1838-03-04|atb=10R						
1838	3	17	5	23	0	1011.4	orig=29.92In|orig.time=8:00AM|orig.date=1838-03-05|atb=9R						
1838	3	17	7	23	0	1011.4	orig=29.92In|orig.time=10:00AM|orig.date=1838-03-05|atb=9R						
1838	3	17	9	23	0	1011.4	orig=29.92In|orig.time=12:00AM|orig.date=1838-03-05|atb=11R						
1838	3	17	11	23	0	1011.4	orig=29.92In|orig.time=2:00PM|orig.date=1838-03-05|atb=11R						
1838	3	17	13	23	0	1010	orig=29.92In|orig.time=4:00PM|orig.date=1838-03-05|atb=15R						
1838	3	17	15	23	0	1009.8	orig=29.92In|orig.time=6:00PM|orig.date=1838-03-05|atb=16R						
1838	3	17	17	23	0	1010	orig=29.94In|orig.time=8:00PM|orig.date=1838-03-05|atb=18R						
1838	3	17	19	23	0	1010	orig=29.94In|orig.time=10:00PM|orig.date=1838-03-05|atb=18R						
1838	3	18	5	23	0	1008.6	orig=29.87In|orig.time=8:00AM|orig.date=1838-03-06|atb=14R						
1838	3	18	7	23	0	1008.3	orig=29.87In|orig.time=10:00AM|orig.date=1838-03-06|atb=15R						
1838	3	18	9	23	0	1007.8	orig=29.86In|orig.time=12:00AM|orig.date=1838-03-06|atb=16R						
1838	3	18	11	23	0	1008	orig=29.86In|orig.time=2:00PM|orig.date=1838-03-06|atb=15R						
1838	3	18	13	23	0	1007	orig=29.81In|orig.time=4:00PM|orig.date=1838-03-06|atb=15R						
1838	3	18	15	23	0	1006.1	orig=29.81In|orig.time=6:00PM|orig.date=1838-03-06|atb=16R						
1838	3	18	17	23	0	1005.4	orig=29.79In|orig.time=8:00PM|orig.date=1838-03-06|atb=16R						
1838	3	18	19	23	0	1004.9	orig=29.79In|orig.time=10:00PM|orig.date=1838-03-06|atb=18R						
1838	3	19	5	23	0	1001.6	orig=29.67In|orig.time=8:00AM|orig.date=1838-03-07|atb=15R						
1838	3	19	7	23	0	1001.1	orig=29.67In|orig.time=10:00AM|orig.date=1838-03-07|atb=17R						
1838	3	19	9	23	0	1001.1	orig=29.68In|orig.time=12:00AM|orig.date=1838-03-07|atb=18.5R						
1838	3	19	11	23	0	1001.2	orig=29.68In|orig.time=2:00PM|orig.date=1838-03-07|atb=18R						
1838	3	19	13	23	0	1002.6	orig=29.68In|orig.time=4:00PM|orig.date=1838-03-07|atb=12R						
1838	3	19	15	23	0	1001.9	orig=29.68In|orig.time=6:00PM|orig.date=1838-03-07|atb=15R						
1838	3	19	17	23	0	1001.5	orig=29.68In|orig.time=8:00PM|orig.date=1838-03-07|atb=17R						
1838	3	19	19	23	0	1001.5	orig=29.68In|orig.time=10:00PM|orig.date=1838-03-07|atb=17R						
1838	3	20	5	23	0	997.9	orig=29.56In|orig.time=8:00AM|orig.date=1838-03-08|atb=15R						
1838	3	20	7	23	0	997.6	orig=29.56In|orig.time=10:00AM|orig.date=1838-03-08|atb=16R						
1838	3	20	9	23	0	997.9	orig=29.56In|orig.time=12:00AM|orig.date=1838-03-08|atb=15R						
1838	3	20	11	23	0	997.5	orig=29.55In|orig.time=2:00PM|orig.date=1838-03-08|atb=15R						
1838	3	20	13	23	0	998	orig=29.55In|orig.time=4:00PM|orig.date=1838-03-08|atb=13R						
1838	3	20	15	23	0	997.9	orig=29.56In|orig.time=6:00PM|orig.date=1838-03-08|atb=15R						
1838	3	20	17	23	0	1000.4	orig=29.65In|orig.time=8:00PM|orig.date=1838-03-08|atb=17R						
1838	3	20	19	23	0	1000.9	orig=29.67In|orig.time=10:00PM|orig.date=1838-03-08|atb=18R						
1838	3	21	5	23	0	1002.3	orig=29.69In|orig.time=8:00AM|orig.date=1838-03-09|atb=15R						
1838	3	21	7	23	0	1004	orig=29.75In|orig.time=10:00AM|orig.date=1838-03-09|atb=16R						
1838	3	21	9	23	0	1003.9	orig=29.76In|orig.time=12:00AM|orig.date=1838-03-09|atb=18R						
1838	3	21	11	23	0	1005.1	orig=29.78In|orig.time=2:00PM|orig.date=1838-03-09|atb=16R						
1838	3	21	13	23	0	1005.5	orig=29.78In|orig.time=4:00PM|orig.date=1838-03-09|atb=14R						
1838	3	21	15	23	0	1006.8	orig=29.81In|orig.time=6:00PM|orig.date=1838-03-09|atb=13R						
1838	3	21	17	23	0	1007	orig=29.83In|orig.time=8:00PM|orig.date=1838-03-09|atb=15R						
1838	3	21	19	23	0	1007.3	orig=29.86In|orig.time=10:00PM|orig.date=1838-03-09|atb=18R						
1838	3	22	5	23	0	1011.9	orig=29.97In|orig.time=8:00AM|orig.date=1838-03-10|atb=14R						
1838	3	22	7	23	0	1011.5	orig=29.97In|orig.time=10:00AM|orig.date=1838-03-10|atb=16R						
1838	3	22	9	23	0	1011.7	orig=29.97In|orig.time=12:00AM|orig.date=1838-03-10|atb=15R						
1838	3	22	11	23	0	1012.2	orig=29.97In|orig.time=2:00PM|orig.date=1838-03-10|atb=13R						
1838	3	22	13	23	0	1011.4	orig=29.94In|orig.time=4:00PM|orig.date=1838-03-10|atb=12R						
1838	3	22	15	23	0	1010.8	orig=29.93In|orig.time=6:00PM|orig.date=1838-03-10|atb=13R						
1838	3	22	17	23	0	1010.4	orig=29.93In|orig.time=8:00PM|orig.date=1838-03-10|atb=15R						
1838	3	22	19	23	0	1009.9	orig=29.93In|orig.time=10:00PM|orig.date=1838-03-10|atb=17R						
1838	3	23	5	23	0	1007.8	orig=29.86In|orig.time=8:00AM|orig.date=1838-03-11|atb=16R						
1838	3	23	7	23	0	1007.5	orig=29.86In|orig.time=10:00AM|orig.date=1838-03-11|atb=17R						
1838	3	23	9	23	0	1008.5	orig=29.88In|orig.time=12:00AM|orig.date=1838-03-11|atb=15.5R						
1838	3	23	11	23	0	1008.9	orig=29.88In|orig.time=2:00PM|orig.date=1838-03-11|atb=14R						
1838	3	23	13	23	0	1009.1	orig=29.88In|orig.time=4:00PM|orig.date=1838-03-11|atb=13R						
1838	3	23	15	23	0	1008.9	orig=29.88In|orig.time=6:00PM|orig.date=1838-03-11|atb=14R						
1838	3	23	17	23	0	1008.7	orig=29.88In|orig.time=8:00PM|orig.date=1838-03-11|atb=15R						
1838	3	23	19	23	0	1008	orig=29.88In|orig.time=10:00PM|orig.date=1838-03-11|atb=18R						
1838	3	24	5	23	0	1008.9	orig=29.88In|orig.time=8:00AM|orig.date=1838-03-12|atb=14R						
1838	3	24	7	23	0	1008.7	orig=29.88In|orig.time=10:00AM|orig.date=1838-03-12|atb=15R						
1838	3	24	9	23	0	1008.7	orig=29.88In|orig.time=12:00AM|orig.date=1838-03-12|atb=15R						
1838	3	24	11	23	0	1008.2	orig=29.86In|orig.time=2:00PM|orig.date=1838-03-12|atb=14R						
1838	3	24	13	23	0	1007.8	orig=29.84In|orig.time=4:00PM|orig.date=1838-03-12|atb=13R						
1838	3	24	15	23	0	1007.1	orig=29.82In|orig.time=6:00PM|orig.date=1838-03-12|atb=13R						
1838	3	24	17	23	0	1006.6	orig=29.82In|orig.time=8:00PM|orig.date=1838-03-12|atb=15R						
1838	3	24	19	23	0	1006.6	orig=29.84In|orig.time=10:00PM|orig.date=1838-03-12|atb=18R						
1838	3	25	5	23	0	1007.4	orig=29.83In|orig.time=8:00AM|orig.date=1838-03-13|atb=13R						
1838	3	25	7	23	0	1007	orig=29.83In|orig.time=10:00AM|orig.date=1838-03-13|atb=15R						
1838	3	25	9	23	0	1006.7	orig=29.83In|orig.time=12:00AM|orig.date=1838-03-13|atb=16R						
1838	3	25	11	23	0	1007.3	orig=29.83In|orig.time=2:00PM|orig.date=1838-03-13|atb=13.5R						
1838	3	25	13	23	0	1007.1	orig=29.82In|orig.time=4:00PM|orig.date=1838-03-13|atb=13R						
1838	3	25	15	23	0	1006.6	orig=29.82In|orig.time=6:00PM|orig.date=1838-03-13|atb=15R						
1838	3	25	17	23	0	1007.1	orig=29.82In|orig.time=8:00PM|orig.date=1838-03-13|atb=13R						
1838	3	25	19	23	0	1006.2	orig=29.82In|orig.time=10:00PM|orig.date=1838-03-13|atb=17R						
1838	3	26	5	23	0	1006.5	orig=29.81In|orig.time=8:00AM|orig.date=1838-03-14|atb=14R						
1838	3	26	7	23	0	1006.3	orig=29.81In|orig.time=10:00AM|orig.date=1838-03-14|atb=15R						
1838	3	26	9	23	0	1006.1	orig=29.81In|orig.time=12:00AM|orig.date=1838-03-14|atb=16R						
1838	3	26	11	23	0	1005.6	orig=29.79In|orig.time=2:00PM|orig.date=1838-03-14|atb=15R						
1838	3	26	13	23	0	1005.7	orig=29.78In|orig.time=4:00PM|orig.date=1838-03-14|atb=13R						
1838	3	26	15	23	0	1005.3	orig=29.78In|orig.time=6:00PM|orig.date=1838-03-14|atb=15R						
1838	3	26	17	23	0	1004.8	orig=29.78In|orig.time=8:00PM|orig.date=1838-03-14|atb=17R						
1838	3	26	19	23	0	1004.8	orig=29.78In|orig.time=10:00PM|orig.date=1838-03-14|atb=17R						
1838	3	27	5	23	0	1003.8	orig=29.73In|orig.time=8:00AM|orig.date=1838-03-15|atb=14R						
1838	3	27	7	23	0	1003.4	orig=29.73In|orig.time=10:00AM|orig.date=1838-03-15|atb=16R						
1838	3	27	9	23	0	1002.8	orig=29.72In|orig.time=12:00AM|orig.date=1838-03-15|atb=17R						
1838	3	27	11	23	0	1001.3	orig=29.67In|orig.time=2:00PM|orig.date=1838-03-15|atb=16R						
1838	3	27	13	23	0	1000.7	orig=29.65In|orig.time=4:00PM|orig.date=1838-03-15|atb=16R						
1838	3	27	15	23	0	1000.8	orig=29.64In|orig.time=6:00PM|orig.date=1838-03-15|atb=14R						
1838	3	27	17	23	0	1000.3	orig=29.64In|orig.time=8:00PM|orig.date=1838-03-15|atb=16R						
1838	3	27	19	23	0	1000.6	orig=29.66In|orig.time=10:00PM|orig.date=1838-03-15|atb=18R						
1838	3	28	5	23	0	1001.2	orig=29.66In|orig.time=8:00AM|orig.date=1838-03-16|atb=15R						
1838	3	28	7	23	0	1002.9	orig=29.71In|orig.time=10:00AM|orig.date=1838-03-16|atb=15R						
1838	3	28	9	23	0	1002.7	orig=29.71In|orig.time=12:00AM|orig.date=1838-03-16|atb=16R						
1838	3	28	11	23	0	1002.8	orig=29.72In|orig.time=2:00PM|orig.date=1838-03-16|atb=17R						
1838	3	28	13	23	0	1003.8	orig=29.75In|orig.time=4:00PM|orig.date=1838-03-16|atb=17R						
1838	3	28	15	23	0	1004.7	orig=29.77In|orig.time=6:00PM|orig.date=1838-03-16|atb=16R						
1838	3	28	17	23	0	1006.5	orig=29.83In|orig.time=8:00PM|orig.date=1838-03-16|atb=17R						
1838	3	28	19	23	0	1006.9	orig=29.84In|orig.time=10:00PM|orig.date=1838-03-16|atb=17R						
1838	3	29	5	23	0	1008.9	orig=29.88In|orig.time=8:00AM|orig.date=1838-03-17|atb=14R						
1838	3	29	7	23	0	1010	orig=29.92In|orig.time=10:00AM|orig.date=1838-03-17|atb=15R						
1838	3	29	9	23	0	1010.6	orig=29.93In|orig.time=12:00AM|orig.date=1838-03-17|atb=14R						
1838	3	29	11	23	0	1011	orig=29.93In|orig.time=2:00PM|orig.date=1838-03-17|atb=12R						
1838	3	29	13	23	0	1011	orig=29.93In|orig.time=4:00PM|orig.date=1838-03-17|atb=12R						
1838	3	29	15	23	0	1010.8	orig=29.93In|orig.time=6:00PM|orig.date=1838-03-17|atb=13R						
1838	3	29	17	23	0	1010	orig=29.92In|orig.time=8:00PM|orig.date=1838-03-17|atb=15R						
1838	3	29	19	23	0	1009.6	orig=29.92In|orig.time=10:00PM|orig.date=1838-03-17|atb=17R						
1838	3	30	5	23	0	1005.6	orig=29.79In|orig.time=8:00AM|orig.date=1838-03-18|atb=15R						
1838	3	30	7	23	0	1005.1	orig=29.78In|orig.time=10:00AM|orig.date=1838-03-18|atb=16R						
1838	3	30	9	23	0	1003.8	orig=29.75In|orig.time=12:00AM|orig.date=1838-03-18|atb=17R						
1838	3	30	11	23	0	1002.9	orig=29.73In|orig.time=2:00PM|orig.date=1838-03-18|atb=18R						
1838	3	30	13	23	0	999.9	orig=29.64In|orig.time=4:00PM|orig.date=1838-03-18|atb=18R						
1838	3	30	15	23	0	999.1	orig=29.61In|orig.time=6:00PM|orig.date=1838-03-18|atb=17R						
1838	3	30	17	23	0	997.2	orig=29.56In|orig.time=8:00PM|orig.date=1838-03-18|atb=18R						
1838	3	30	19	23	0	997.2	orig=29.56In|orig.time=10:00PM|orig.date=1838-03-18|atb=18R						
1838	3	31	5	23	0	995.8	orig=29.5In|orig.time=8:00AM|orig.date=1838-03-19|atb=15R						
1838	3	31	7	23	0	997.3	orig=29.55In|orig.time=10:00AM|orig.date=1838-03-19|atb=16R						
1838	3	31	9	23	0	998	orig=29.57In|orig.time=12:00AM|orig.date=1838-03-19|atb=16R						
1838	3	31	11	23	0	997.4	orig=29.56In|orig.time=2:00PM|orig.date=1838-03-19|atb=17R						
1838	3	31	13	23	0	997.6	orig=29.56In|orig.time=4:00PM|orig.date=1838-03-19|atb=16R						
1838	3	31	15	23	0	997.1	orig=29.55In|orig.time=6:00PM|orig.date=1838-03-19|atb=17R						
1838	3	31	17	23	0	997.3	orig=29.55In|orig.time=8:00PM|orig.date=1838-03-19|atb=16R						
1838	3	31	19	23	0	997.1	orig=29.55In|orig.time=10:00PM|orig.date=1838-03-19|atb=17R						
1838	4	1	5	23	0	994.4	orig=29.43In|orig.time=8:00AM|orig.date=1838-03-20|atb=11R						
1838	4	1	7	23	0	994	orig=29.42In|orig.time=10:00AM|orig.date=1838-03-20|atb=11R						
1838	4	1	9	23	0	992.1	orig=29.37In|orig.time=12:00AM|orig.date=1838-03-20|atb=12R						
1838	4	1	11	23	0	991.2	orig=29.35In|orig.time=2:00PM|orig.date=1838-03-20|atb=13R						
1838	4	1	13	23	0	990.4	orig=29.32In|orig.time=4:00PM|orig.date=1838-03-20|atb=12R						
1838	4	1	15	23	0	989.3	orig=29.3In|orig.time=6:00PM|orig.date=1838-03-20|atb=14R						
1838	4	1	17	23	0	988.7	orig=29.29In|orig.time=8:00PM|orig.date=1838-03-20|atb=15R						
1838	4	1	19	23	0	988.3	orig=29.29In|orig.time=10:00PM|orig.date=1838-03-20|atb=17R						
1838	4	2	5	23	0	986.5	orig=29.21In|orig.time=8:00AM|orig.date=1838-03-21|atb=13R						
1838	4	2	7	23	0	986.7	orig=29.21In|orig.time=10:00AM|orig.date=1838-03-21|atb=12R						
1838	4	2	9	23	0	983.6	orig=29.11In|orig.time=12:00AM|orig.date=1838-03-21|atb=11R						
1838	4	2	11	23	0	1007.1	orig=29.8In|orig.time=2:00PM|orig.date=1838-03-21|atb=10R						
1838	4	2	13	23	0	1006.9	orig=29.8In|orig.time=4:00PM|orig.date=1838-03-21|atb=11R						
1838	4	2	15	23	0	1006.7	orig=29.8In|orig.time=6:00PM|orig.date=1838-03-21|atb=12R						
1838	4	2	17	23	0	1006.4	orig=29.8In|orig.time=8:00PM|orig.date=1838-03-21|atb=13R						
1838	4	2	19	23	0	1006.4	orig=29.8In|orig.time=10:00PM|orig.date=1838-03-21|atb=13R						
1838	4	3	5	23	0	987.7	orig=29.24In|orig.time=8:00AM|orig.date=1838-03-22|atb=12R						
1838	4	3	7	23	0	991.2	orig=29.33In|orig.time=10:00AM|orig.date=1838-03-22|atb=10R						
1838	4	3	9	23	0	992.2	orig=29.38In|orig.time=12:00AM|orig.date=1838-03-22|atb=13R						
1838	4	3	11	23	0	994	orig=29.42In|orig.time=2:00PM|orig.date=1838-03-22|atb=11R						
1838	4	3	13	23	0	997.6	orig=29.52In|orig.time=4:00PM|orig.date=1838-03-22|atb=10R						
1838	4	3	15	23	0	991.2	orig=29.33In|orig.time=6:00PM|orig.date=1838-03-22|atb=10R						
